14012 0.0  ASP --> ing
9 0.0  NN --> calf
9 0.0  NN --> cantaloupe
9 0.0  NN --> carpenter
9 0.0  NN --> chain
9 0.0  NN --> check
9 0.0  NN --> cheerio
9 0.0  NN --> chick
9 0.0  NN --> collar
9 0.0  NN --> cook
9 0.0  NN --> department
9 0.0  NN --> dough
9 0.0  NN --> downstairs
9 0.0  NN --> elastic
9 0.0  NN --> football
9 0.0  NN --> good
9 0.0  NN --> grandfather
9 0.0  NN --> gravy
9 0.0  NN --> heel
9 0.0  NN --> holder
9 0.0  NN --> jelly
9 0.0  NN --> jungle
9 0.0  NN --> kittys
9 0.0  NN --> leaf
9 0.0  NN --> lock
9 0.0  NN --> meal
9 0.0  NN --> memory
9 0.0  NN --> momma
9 0.0  NN --> mood
9 0.0  NN --> mummy
9 0.0  NN --> nine
9 0.0  NN --> oil
9 0.0  NN --> plenty
9 0.0  NN --> pretzel
9 0.0  NN --> program
9 0.0  NN --> reason
9 0.0  NN --> sauce
9 0.0  NN --> saw
9 0.0  NN --> seahorse
9 0.0  NN --> sir
9 0.0  NN --> sled
9 0.0  NN --> split
9 0.0  NN --> stop
9 0.0  NN --> subway
9 0.0  NN --> swan
9 0.0  NN --> tablet
9 0.0  NN --> tank
9 0.0  NN --> tie
9 0.0  NN --> tool
9 0.0  NN --> vanilla
8 0.0  NN --> address
8 0.0  NN --> army
8 0.0  NN --> aunt
8 0.0  NN --> blackboard
8 0.0  NN --> blade
8 0.0  NN --> bookshelf
8 0.0  NN --> bouillon
8 0.0  NN --> bracelet
8 0.0  NN --> braid
8 0.0  NN --> bristle
8 0.0  NN --> brown
8 0.0  NN --> brownie
8 0.0  NN --> bubblebath
8 0.0  NN --> carnival
8 0.0  NN --> caterpillar
8 0.0  NN --> chance
8 0.0  NN --> chip
8 0.0  NN --> cucumber
8 0.0  NN --> cupboard
8 0.0  NN --> curler
8 0.0  NN --> design
8 0.0  NN --> diamond
8 0.0  NN --> digger
8 0.0  NN --> dresser
8 0.0  NN --> duckling
8 0.0  NN --> dust
8 0.0  NN --> eagle
8 0.0  NN --> factory
8 0.0  NN --> fever
8 0.0  NN --> film
8 0.0  NN --> flavor
8 0.0  NN --> fur
8 0.0  NN --> god
8 0.0  NN --> hiccup
8 0.0  NN --> jail
8 0.0  NN --> jersey
8 0.0  NN --> junk
8 0.0  NN --> land
8 0.0  NN --> language
8 0.0  NN --> latch
8 0.0  NN --> lizard
8 0.0  NN --> news
8 0.0  NN --> notebook
8 0.0  NN --> parent
8 0.0  NN --> parrot
8 0.0  NN --> pinwheel
8 0.0  NN --> pitcher
8 0.0  NN --> plum
8 0.0  NN --> poem
8 0.0  NN --> poop
8 0.0  NN --> popcorn
8 0.0  NN --> purple
8 0.0  NN --> raisin
8 0.0  NN --> rake
8 0.0  NN --> raviolis
8 0.0  NN --> root
8 0.0  NN --> sausage
8 0.0  NN --> snarl
8 0.0  NN --> someplace
8 0.0  NN --> stall
8 0.0  NN --> stamp
8 0.0  NN --> start
8 0.0  NN --> stem
8 0.0  NN --> student
8 0.0  NN --> three
8 0.0  NN --> throat
8 0.0  NN --> tip
8 0.0  NN --> tricycle
8 0.0  NN --> tummyache
8 0.0  NN --> violin
8 0.0  NN --> visitor
8 0.0  NN --> wastebasket
8 0.0  NN --> watermelon
7 0.0  NN --> ache
7 0.0  NN --> another
7 0.0  NN --> bahbah
7 0.0  NN --> baker
7 0.0  NN --> ballerina
7 0.0  NN --> bathrobe
7 0.0  NN --> bill
7 0.0  NN --> black
7 0.0  NN --> break
7 0.0  NN --> bureau
7 0.0  NN --> caboose
7 0.0  NN --> calendar
7 0.0  NN --> catch
7 0.0  NN --> chie
7 0.0  NN --> cone
7 0.0  NN --> crocodile
7 0.0  NN --> cross
7 0.0  NN --> cupcake
7 0.0  NN --> cushion
7 0.0  NN --> devil
7 0.0  NN --> drain
7 0.0  NN --> fairy
7 0.0  NN --> firework
7 0.0  NN --> fizzie
7 0.0  NN --> gold
7 0.0  NN --> goldfish
7 0.0  NN --> gosh
7 0.0  NN --> grain
7 0.0  NN --> grill
7 0.0  NN --> gypsy
7 0.0  NN --> hamster
7 0.0  NN --> hint
7 0.0  NN --> imagination
7 0.0  NN --> it
7 0.0  NN --> lawnmower
7 0.0  NN --> leather
7 0.0  NN --> left
7 0.0  NN --> mark
7 0.0  NN --> museum
7 0.0  NN --> newspaper
7 0.0  NN --> oatmeal
7 0.0  NN --> olive
7 0.0  NN --> outside
7 0.0  NN --> own
7 0.0  NN --> pain
7 0.0  NN --> palace
7 0.0  NN --> parlor
7 0.0  NN --> peg
7 0.0  NN --> peppermint
7 0.0  NN --> pigeon
7 0.0  NN --> playground
7 0.0  NN --> poker
7 0.0  NN --> practice
7 0.0  NN --> quill
7 0.0  NN --> railroad
7 0.0  NN --> raincoat
7 0.0  NN --> rash
7 0.0  NN --> roast
7 0.0  NN --> robe
7 0.0  NN --> saddle
7 0.0  NN --> season
7 0.0  NN --> shower
7 0.0  NN --> sip
7 0.0  NN --> sofa
7 0.0  NN --> spray
7 0.0  NN --> sprinkler
7 0.0  NN --> tale
7 0.0  NN --> toothpaste
7 0.0  NN --> tumble
7 0.0  NN --> uncle
7 0.0  NN --> upstairs
7 0.0  NN --> wake
7 0.0  NN --> war
7 0.0  NN --> white
7 0.0  NN --> wonder
7 0.0  NN --> wool
6 0.0  NN --> advertisement
6 0.0  NN --> antenna
6 0.0  NN --> art
6 0.0  NN --> ashe
6 0.0  NN --> aspirin
6 0.0  NN --> babye
6 0.0  NN --> bay
6 0.0  NN --> beater
6 0.0  NN --> bedtime
6 0.0  NN --> blueberry
6 0.0  NN --> bond
6 0.0  NN --> boss
6 0.0  NN --> brain
6 0.0  NN --> bulb
6 0.0  NN --> butt
6 0.0  NN --> cash
6 0.0  NN --> click
6 0.0  NN --> coal
6 0.0  NN --> cocoa
6 0.0  NN --> coin
6 0.0  NN --> compass
6 0.0  NN --> cranberry
6 0.0  NN --> crash
6 0.0  NN --> creature
6 0.0  NN --> dairy
6 0.0  NN --> deal
6 0.0  NN --> dentist
6 0.0  NN --> fall
6 0.0  NN --> fame
6 0.0  NN --> fat
6 0.0  NN --> faucet
6 0.0  NN --> fella
6 0.0  NN --> few
6 0.0  NN --> fin
6 0.0  NN --> flashlight
6 0.0  NN --> fortnight
6 0.0  NN --> four
6 0.0  NN --> freight
6 0.0  NN --> gem
6 0.0  NN --> grace
6 0.0  NN --> grasshopper
6 0.0  NN --> handkerchief
6 0.0  NN --> headache
6 0.0  NN --> heck
6 0.0  NN --> hoop
6 0.0  NN --> kick
6 0.0  NN --> lemonade
6 0.0  NN --> lily
6 0.0  NN --> magazine
6 0.0  NN --> makeup
6 0.0  NN --> marshmallow
6 0.0  NN --> mat
6 0.0  NN --> medium
6 0.0  NN --> microscope
6 0.0  NN --> miss
6 0.0  NN --> more
6 0.0  NN --> motorboat
6 0.0  NN --> mousie
6 0.0  NN --> nighttime
6 0.0  NN --> overall
6 0.0  NN --> paste
6 0.0  NN --> peace
6 0.0  NN --> peel
6 0.0  NN --> pink
6 0.0  NN --> plan
6 0.0  NN --> ravioli
6 0.0  NN --> rhyme
6 0.0  NN --> scallop
6 0.0  NN --> sec
6 0.0  NN --> sense
6 0.0  NN --> silo
6 0.0  NN --> six
6 0.0  NN --> skate
6 0.0  NN --> smell
6 0.0  NN --> squeak
6 0.0  NN --> stage
6 0.0  NN --> statue
6 0.0  NN --> string
6 0.0  NN --> tablecloth
6 0.0  NN --> target
6 0.0  NN --> taxi
6 0.0  NN --> thought
6 0.0  NN --> tobacco
6 0.0  NN --> toothbrush
6 0.0  NN --> undershirt
6 0.0  NN --> visit
6 0.0  NN --> wheat
6 0.0  NN --> wheelbarrow
6 0.0  NN --> wheeler
6 0.0  NN --> wristwatch
6 0.0  NN --> yarn
6 0.0  NN --> yes
6 0.0  NN --> yogurt
5 0.0  NN --> a_b_c
5 0.0  NN --> anyplace
5 0.0  NN --> applesauce
5 0.0  NN --> argument
5 0.0  NN --> bandage
5 0.0  NN --> barbecue
5 0.0  NN --> barber
5 0.0  NN --> basketball
5 0.0  NN --> believe
5 0.0  NN --> bellybutton
5 0.0  NN --> booby
5 0.0  NN --> brand
5 0.0  NN --> breath
5 0.0  NN --> brook
5 0.0  NN --> buck
5 0.0  NN --> bumper
5 0.0  NN --> bx
5 0.0  NN --> cavity
5 0.0  NN --> channel
5 0.0  NN --> college
5 0.0  NN --> combination
5 0.0  NN --> dancer
5 0.0  NN --> dozen
5 0.0  NN --> escalator
5 0.0  NN --> fault
5 0.0  NN --> feeling
5 0.0  NN --> fight
5 0.0  NN --> flour
5 0.0  NN --> fourth
5 0.0  NN --> fry
5 0.0  NN --> fuzz
5 0.0  NN --> guess
5 0.0  NN --> hammock
5 0.0  NN --> helmet
5 0.0  NN --> hi
5 0.0  NN --> hippo
5 0.0  NN --> hot
5 0.0  NN --> hotel
5 0.0  NN --> indians
5 0.0  NN --> information
5 0.0  NN --> instrument
5 0.0  NN --> island
5 0.0  NN --> kettle
5 0.0  NN --> license
5 0.0  NN --> lifeguard
5 0.0  NN --> load
5 0.0  NN --> loader
5 0.0  NN --> loop
5 0.0  NN --> lotion
5 0.0  NN --> many
5 0.0  NN --> marker
5 0.0  NN --> market
5 0.0  NN --> merry_go_round
5 0.0  NN --> milkman
5 0.0  NN --> mobile
5 0.0  NN --> mouthful
5 0.0  NN --> mug
5 0.0  NN --> opener
5 0.0  NN --> ostrich
5 0.0  NN --> pasta
5 0.0  NN --> pat
5 0.0  NN --> pattycake
5 0.0  NN --> pond
5 0.0  NN --> racoon
5 0.0  NN --> raft
5 0.0  NN --> register
5 0.0  NN --> robot
5 0.0  NN --> rule
5 0.0  NN --> sandal
5 0.0  NN --> scarf
5 0.0  NN --> self
5 0.0  NN --> service
5 0.0  NN --> shaker
5 0.0  NN --> shame
5 0.0  NN --> she
5 0.0  NN --> shoelace
5 0.0  NN --> slacks
5 0.0  NN --> spring
5 0.0  NN --> squeaker
5 0.0  NN --> stand
5 0.0  NN --> statement
5 0.0  NN --> suppertime
5 0.0  NN --> suspender
5 0.0  NN --> swordfish
5 0.0  NN --> teaspoon
5 0.0  NN --> third
5 0.0  NN --> tickle
5 0.0  NN --> tot
5 0.0  NN --> tow
5 0.0  NN --> toybox
5 0.0  NN --> transmission
5 0.0  NN --> trap
5 0.0  NN --> treasure
5 0.0  NN --> trumpet
5 0.0  NN --> tube
5 0.0  NN --> tulip
5 0.0  NN --> tuner
5 0.0  NN --> tusk
5 0.0  NN --> unicorn
5 0.0  NN --> walnut
5 0.0  NN --> well
5 0.0  NN --> wig
5 0.0  NN --> wrench
5 0.0  NN --> xylophone
5 0.0  NN --> yoyo
4 0.0  NN --> abc
4 0.0  NN --> accordion
4 0.0  NN --> acrobat
4 0.0  NN --> adoption
4 0.0  NN --> amusement
4 0.0  NN --> apartment
4 0.0  NN --> apricot
4 0.0  NN --> ark
4 0.0  NN --> ash
4 0.0  NN --> ax
4 0.0  NN --> babysitter
4 0.0  NN --> backpack
4 0.0  NN --> balance
4 0.0  NN --> barnyard
4 0.0  NN --> beauty
4 0.0  NN --> bin
4 0.0  NN --> blimp
4 0.0  NN --> bomb
4 0.0  NN --> bonnet
4 0.0  NN --> boom
4 0.0  NN --> bud
4 0.0  NN --> bumble_bee
4 0.0  NN --> cab
4 0.0  NN --> cabbage
4 0.0  NN --> canal
4 0.0  NN --> cardinal
4 0.0  NN --> cave
4 0.0  NN --> chief
4 0.0  NN --> choice
4 0.0  NN --> clothesline
4 0.0  NN --> clothespin
4 0.0  NN --> computer
4 0.0  NN --> cornbread
4 0.0  NN --> coupon
4 0.0  NN --> cradle
4 0.0  NN --> cry
4 0.0  NN --> cylinder
4 0.0  NN --> dart
4 0.0  NN --> daytime
4 0.0  NN --> desert
4 0.0  NN --> dis
4 0.0  NN --> dreamer
4 0.0  NN --> dustpan
4 0.0  NN --> emergency
4 0.0  NN --> eve
4 0.0  NN --> fit
4 0.0  NN --> fudgesicle
4 0.0  NN --> goof
4 0.0  NN --> gown
4 0.0  NN --> gray
4 0.0  NN --> grease
4 0.0  NN --> haddock
4 0.0  NN --> hairpin
4 0.0  NN --> hoe
4 0.0  NN --> hold
4 0.0  NN --> hopperoos
4 0.0  NN --> hydrant
4 0.0  NN --> jaw
4 0.0  NN --> jug
4 0.0  NN --> kit
4 0.0  NN --> lawn
4 0.0  NN --> leopard
4 0.0  NN --> licorice
4 0.0  NN --> lighthouse
4 0.0  NN --> lord
4 0.0  NN --> machinery
4 0.0  NN --> mammal
4 0.0  NN --> mass
4 0.0  NN --> master
4 0.0  NN --> microbacteria
4 0.0  NN --> neighborhood
4 0.0  NN --> net
4 0.0  NN --> nibble
4 0.0  NN --> nickname
4 0.0  NN --> note
4 0.0  NN --> noun
4 0.0  NN --> operator
4 0.0  NN --> oval
4 0.0  NN --> pamper
4 0.0  NN --> pasture
4 0.0  NN --> payday
4 0.0  NN --> perfume
4 0.0  NN --> petticoat
4 0.0  NN --> piggie
4 0.0  NN --> playroom
4 0.0  NN --> plumber
4 0.0  NN --> poopie
4 0.0  NN --> post
4 0.0  NN --> pox
4 0.0  NN --> project
4 0.0  NN --> promise
4 0.0  NN --> push
4 0.0  NN --> pushup
4 0.0  NN --> rack
4 0.0  NN --> rag
4 0.0  NN --> reel
4 0.0  NN --> relative
4 0.0  NN --> rhino
4 0.0  NN --> rice_crispie
4 0.0  NN --> riot
4 0.0  NN --> rollercoaster
4 0.0  NN --> rosey
4 0.0  NN --> run
4 0.0  NN --> scarecrow
4 0.0  NN --> screen
4 0.0  NN --> shade
4 0.0  NN --> sharpener
4 0.0  NN --> sheet
4 0.0  NN --> shit
4 0.0  NN --> silly
4 0.0  NN --> skim
4 0.0  NN --> slate
4 0.0  NN --> sleigh
4 0.0  NN --> slinky
4 0.0  NN --> snowsuit
4 0.0  NN --> sorcerer
4 0.0  NN --> spaceship
4 0.0  NN --> spigot
4 0.0  NN --> steeple
4 0.0  NN --> stewardess
4 0.0  NN --> straw
4 0.0  NN --> style
4 0.0  NN --> sunburn
4 0.0  NN --> t_v
4 0.0  NN --> tab
4 0.0  NN --> team
4 0.0  NN --> thermometer
4 0.0  NN --> tin
4 0.0  NN --> toaster
4 0.0  NN --> toesie
4 0.0  NN --> traffic
4 0.0  NN --> try
4 0.0  NN --> tuba
4 0.0  NN --> twenty
4 0.0  NN --> underwear
4 0.0  NN --> van
4 0.0  NN --> vane
4 0.0  NN --> waffle
4 0.0  NN --> waitress
4 0.0  NN --> waterfall
4 0.0  NN --> windshield
4 0.0  NN --> yak
3 0.0  NN --> accomplishment
3 0.0  NN --> adam
3 0.0  NN --> adenoid
3 0.0  NN --> adventure
3 0.0  NN --> alarm
3 0.0  NN --> allegiance
3 0.0  NN --> angel
3 0.0  NN --> apeekaboo
3 0.0  NN --> arabesque
3 0.0  NN --> bathtime
3 0.0  NN --> beehive
3 0.0  NN --> bellyache
3 0.0  NN --> berry
3 0.0  NN --> big
3 0.0  NN --> biscuit
3 0.0  NN --> blowout
3 0.0  NN --> brace
3 0.0  NN --> bran
3 0.0  NN --> brick
3 0.0  NN --> bruise
3 0.0  NN --> buckle
3 0.0  NN --> bullet
3 0.0  NN --> burp
3 0.0  NN --> bushel
3 0.0  NN --> buzz
3 0.0  NN --> bye
3 0.0  NN --> cape
3 0.0  NN --> captain
3 0.0  NN --> cardboard
3 0.0  NN --> carrier
3 0.0  NN --> cashew
3 0.0  NN --> character
3 0.0  NN --> chess
3 0.0  NN --> chime
3 0.0  NN --> clap
3 0.0  NN --> club
3 0.0  NN --> collection
3 0.0  NN --> cologne
3 0.0  NN --> concept
3 0.0  NN --> conductor
3 0.0  NN --> container
3 0.0  NN --> cookbook
3 0.0  NN --> cooker
3 0.0  NN --> cookies
3 0.0  NN --> cookout
3 0.0  NN --> cot
3 0.0  NN --> crank
3 0.0  NN --> creation
3 0.0  NN --> crisscross
3 0.0  NN --> crouton
3 0.0  NN --> crow
3 0.0  NN --> cubby
3 0.0  NN --> custom
3 0.0  NN --> dark
3 0.0  NN --> death
3 0.0  NN --> deck
3 0.0  NN --> dial
3 0.0  NN --> dimple
3 0.0  NN --> disaster
3 0.0  NN --> doorbell
3 0.0  NN --> doorknob
3 0.0  NN --> doorway
3 0.0  NN --> drill
3 0.0  NN --> driveway
3 0.0  NN --> dumbbell
3 0.0  NN --> earache
3 0.0  NN --> earth
3 0.0  NN --> fashion
3 0.0  NN --> fiddle
3 0.0  NN --> fifth
3 0.0  NN --> file
3 0.0  NN --> firehouse
3 0.0  NN --> first
3 0.0  NN --> flatbed
3 0.0  NN --> flu
3 0.0  NN --> foodie
3 0.0  NN --> forehead
3 0.0  NN --> form
3 0.0  NN --> fridge
3 0.0  NN --> gazelle
3 0.0  NN --> gift
3 0.0  NN --> golf
3 0.0  NN --> governor
3 0.0  NN --> grapefruit
3 0.0  NN --> grinder
3 0.0  NN --> grump
3 0.0  NN --> hanger
3 0.0  NN --> hangnail
3 0.0  NN --> harness
3 0.0  NN --> hexagonal
3 0.0  NN --> hiccough
3 0.0  NN --> hive
3 0.0  NN --> hop
3 0.0  NN --> hopbang
3 0.0  NN --> hopscotch
3 0.0  NN --> hotdog
3 0.0  NN --> humdinger
3 0.0  NN --> hunter
3 0.0  NN --> indian
3 0.0  NN --> insect
3 0.0  NN --> instruction
3 0.0  NN --> jack
3 0.0  NN --> jewelry
3 0.0  NN --> knucklehead
3 0.0  NN --> lasagna
3 0.0  NN --> later
3 0.0  NN --> laugh
3 0.0  NN --> lego
3 0.0  NN --> level
3 0.0  NN --> lighter
3 0.0  NN --> limit
3 0.0  NN --> liver
3 0.0  NN --> lumber
3 0.0  NN --> magician
3 0.0  NN --> maple
3 0.0  NN --> material
3 0.0  NN --> math
3 0.0  NN --> mattress
3 0.0  NN --> meatball
3 0.0  NN --> message
3 0.0  NN --> mile
3 0.0  NN --> mink
3 0.0  NN --> mold
3 0.0  NN --> mop
3 0.0  NN --> moth
3 0.0  NN --> movement
3 0.0  NN --> mule
3 0.0  NN --> mumma
3 0.0  NN --> munchkin
3 0.0  NN --> mushroom
3 0.0  NN --> navy
3 0.0  NN --> necktie
3 0.0  NN --> nerd
3 0.0  NN --> nickle
3 0.0  NN --> object
3 0.0  NN --> pacifier
3 0.0  NN --> peacock
3 0.0  NN --> pebble
3 0.0  NN --> permanent
3 0.0  NN --> pest
3 0.0  NN --> pick
3 0.0  NN --> pine
3 0.0  NN --> plankton
3 0.0  NN --> platform
3 0.0  NN --> plug
3 0.0  NN --> plural
3 0.0  NN --> porkchop
3 0.0  NN --> pouch
3 0.0  NN --> pricker
3 0.0  NN --> puddle
3 0.0  NN --> puff
3 0.0  NN --> purpose
3 0.0  NN --> racket
3 0.0  NN --> raindrop
3 0.0  NN --> ramp
3 0.0  NN --> raspberry
3 0.0  NN --> rate
3 0.0  NN --> rectangle
3 0.0  NN --> rifle
3 0.0  NN --> rinse
3 0.0  NN --> riverboat
3 0.0  NN --> robin
3 0.0  NN --> rollerskate
3 0.0  NN --> rose
3 0.0  NN --> scab
3 0.0  NN --> schedule
3 0.0  NN --> sentence
3 0.0  NN --> share
3 0.0  NN --> sherbert
3 0.0  NN --> shuttle
3 0.0  NN --> silverware
3 0.0  NN --> site
3 0.0  NN --> sixteenth
3 0.0  NN --> sixth
3 0.0  NN --> ski
3 0.0  NN --> skidder
3 0.0  NN --> slice
3 0.0  NN --> slip
3 0.0  NN --> sneeze
3 0.0  NN --> soccer
3 0.0  NN --> sockie
3 0.0  NN --> soul
3 0.0  NN --> spaghettis
3 0.0  NN --> spark
3 0.0  NN --> speech
3 0.0  NN --> splasher
3 0.0  NN --> spoonful
3 0.0  NN --> stack
3 0.0  NN --> stair
3 0.0  NN --> stalk
3 0.0  NN --> stew
3 0.0  NN --> stilt
3 0.0  NN --> strap
3 0.0  NN --> strength
3 0.0  NN --> strip
3 0.0  NN --> sunsuit
3 0.0  NN --> swim
3 0.0  NN --> tap
3 0.0  NN --> tear
3 0.0  NN --> telescope
3 0.0  NN --> ten
3 0.0  NN --> thread
3 0.0  NN --> tick
3 0.0  NN --> ticket
3 0.0  NN --> toenail
3 0.0  NN --> ton
3 0.0  NN --> trainer
3 0.0  NN --> trapezoid
3 0.0  NN --> truth
3 0.0  NN --> tweet
3 0.0  NN --> twelfth
3 0.0  NN --> twist
3 0.0  NN --> ukelele
3 0.0  NN --> undie
3 0.0  NN --> unicycle
3 0.0  NN --> use
3 0.0  NN --> vase
3 0.0  NN --> vehicle
3 0.0  NN --> video
3 0.0  NN --> waste
3 0.0  NN --> wiper
3 0.0  NN --> wizard
3 0.0  NN --> worth
3 0.0  NN --> you
2 0.0  NN --> actress
2 0.0  NN --> ad
2 0.0  NN --> aisle
2 0.0  NN --> almanac
2 0.0  NN --> ambulance
2 0.0  NN --> announcement
2 0.0  NN --> antler
2 0.0  NN --> anymore
2 0.0  NN --> appointment
2 0.0  NN --> appy
2 0.0  NN --> arch
2 0.0  NN --> area
2 0.0  NN --> asparagus
2 0.0  NN --> astronaut
2 0.0  NN --> attack
2 0.0  NN --> attic
2 0.0  NN --> audience
2 0.0  NN --> auntie
2 0.0  NN --> badger
2 0.0  NN --> ballet
2 0.0  NN --> bandit
2 0.0  NN --> barbell
2 0.0  NN --> base
2 0.0  NN --> bassinet
2 0.0  NN --> batter
2 0.0  NN --> beanstalk
2 0.0  NN --> beast
2 0.0  NN --> beaver
2 0.0  NN --> bedspread
2 0.0  NN --> beetle
2 0.0  NN --> billy
2 0.0  NN --> biochemistry
2 0.0  NN --> birdfeeder
2 0.0  NN --> blackbird
2 0.0  NN --> blankie
2 0.0  NN --> bluejay
2 0.0  NN --> bogeyman
2 0.0  NN --> books
2 0.0  NN --> bookstore
2 0.0  NN --> bowel
2 0.0  NN --> boyfriend
2 0.0  NN --> brake
2 0.0  NN --> brat
2 0.0  NN --> breast
2 0.0  NN --> breather
2 0.0  NN --> breeze
2 0.0  NN --> buffalo
2 0.0  NN --> bugger
2 0.0  NN --> bulkhead
2 0.0  NN --> bumble
2 0.0  NN --> bunk
2 0.0  NN --> burro
2 0.0  NN --> cabin
2 0.0  NN --> caboosey
2 0.0  NN --> cafe
2 0.0  NN --> calzone
2 0.0  NN --> camper
2 0.0  NN --> carol
2 0.0  NN --> carton
2 0.0  NN --> cartwheel
2 0.0  NN --> casserole
2 0.0  NN --> catalog
2 0.0  NN --> catalogue
2 0.0  NN --> cause
2 0.0  NN --> cha
2 0.0  NN --> charge
2 0.0  NN --> chariot
2 0.0  NN --> checkbook
2 0.0  NN --> cheesepop
2 0.0  NN --> chimpanzee
2 0.0  NN --> cinnamon
2 0.0  NN --> coaster
2 0.0  NN --> cocktail
2 0.0  NN --> coke
2 0.0  NN --> concert
2 0.0  NN --> conclusion
2 0.0  NN --> confusion
2 0.0  NN --> consent
2 0.0  NN --> cook_out
2 0.0  NN --> copycat
2 0.0  NN --> corkscrew
2 0.0  NN --> crazy
2 0.0  NN --> crispie
2 0.0  NN --> croissant
2 0.0  NN --> cuddler
2 0.0  NN --> curve
2 0.0  NN --> custard
2 0.0  NN --> cutter
2 0.0  NN --> cycle
2 0.0  NN --> daisy
2 0.0  NN --> damage
2 0.0  NN --> danger
2 0.0  NN --> date
2 0.0  NN --> daylight
2 0.0  NN --> decision
2 0.0  NN --> demonstration
2 0.0  NN --> derrick
2 0.0  NN --> dingdong
2 0.0  NN --> dishwasher
2 0.0  NN --> diver
2 0.0  NN --> dock
2 0.0  NN --> dodge
2 0.0  NN --> donut
2 0.0  NN --> dope
2 0.0  NN --> dose
2 0.0  NN --> doughnut
2 0.0  NN --> dragonfly
2 0.0  NN --> drive
2 0.0  NN --> dropsy
2 0.0  NN --> drumstick
2 0.0  NN --> dummy
2 0.0  NN --> dumper
2 0.0  NN --> duty
2 0.0  NN --> e
2 0.0  NN --> earmuff
2 0.0  NN --> ears
2 0.0  NN --> eater
2 0.0  NN --> effect
2 0.0  NN --> eggplant
2 0.0  NN --> eighty
2 0.0  NN --> electricity
2 0.0  NN --> eleventh
2 0.0  NN --> encore
2 0.0  NN --> energy
2 0.0  NN --> equipment
2 0.0  NN --> errand
2 0.0  NN --> espresso
2 0.0  NN --> etcetera
2 0.0  NN --> excuse
2 0.0  NN --> expression
2 0.0  NN --> extension
2 0.0  NN --> eyeglass
2 0.0  NN --> felt
2 0.0  NN --> ferris
2 0.0  NN --> fighter
2 0.0  NN --> fist
2 0.0  NN --> flame
2 0.0  NN --> flamingo
2 0.0  NN --> flap
2 0.0  NN --> flirt
2 0.0  NN --> folder
2 0.0  NN --> folk
2 0.0  NN --> footie
2 0.0  NN --> frame
2 0.0  NN --> frank
2 0.0  NN --> fussy
2 0.0  NN --> fuzzie
2 0.0  NN --> gauze
2 0.0  NN --> genie
2 0.0  NN --> goody
2 0.0  NN --> grandpa
2 0.0  NN --> gravity
2 0.0  NN --> grouch
2 0.0  NN --> guarantee
2 0.0  NN --> guard
2 0.0  NN --> gull
2 0.0  NN --> gumby
2 0.0  NN --> gym
2 0.0  NN --> hairdo
2 0.0  NN --> handlebar
2 0.0  NN --> happiness
2 0.0  NN --> hard
2 0.0  NN --> he
2 0.0  NN --> headlight
2 0.0  NN --> heirloom
2 0.0  NN --> hello
2 0.0  NN --> hip
2 0.0  NN --> hit
2 0.0  NN --> hitch
2 0.0  NN --> hock
2 0.0  NN --> hockey
2 0.0  NN --> hon
2 0.0  NN --> honeycomb
2 0.0  NN --> hood
2 0.0  NN --> hopper
2 0.0  NN --> horseshoe
2 0.0  NN --> hound
2 0.0  NN --> huh
2 0.0  NN --> hunk
2 0.0  NN --> i
2 0.0  NN --> iceberg
2 0.0  NN --> iguana
2 0.0  NN --> inch
2 0.0  NN --> indigestion
2 0.0  NN --> instigator
2 0.0  NN --> inventory
2 0.0  NN --> itch
2 0.0  NN --> jack_in_the_box
2 0.0  NN --> jay
2 0.0  NN --> jigsaw
2 0.0  NN --> joy
2 0.0  NN --> keeper
2 0.0  NN --> keyhole
2 0.0  NN --> kidney
2 0.0  NN --> knuckle
2 0.0  NN --> koala
2 0.0  NN --> koolaid
2 0.0  NN --> ladle
2 0.0  NN --> lane
2 0.0  NN --> layer
2 0.0  NN --> leak
2 0.0  NN --> leftover
2 0.0  NN --> leggie
2 0.0  NN --> legging
2 0.0  NN --> leotard
2 0.0  NN --> lifepreserver
2 0.0  NN --> lift
2 0.0  NN --> lightbulb
2 0.0  NN --> liquid
2 0.0  NN --> loaf
2 0.0  NN --> lolly
2 0.0  NN --> lullabye
2 0.0  NN --> lump
2 0.0  NN --> macaronis
2 0.0  NN --> maid
2 0.0  NN --> mall
2 0.0  NN --> manner
2 0.0  NN --> mantle
2 0.0  NN --> matron
2 0.0  NN --> may
2 0.0  NN --> meanchie
2 0.0  NN --> measles
2 0.0  NN --> men
2 0.0  NN --> mercy
2 0.0  NN --> mermaid
2 0.0  NN --> microwave
2 0.0  NN --> millet
2 0.0  NN --> millionaire
2 0.0  NN --> mincemeat
2 0.0  NN --> mischief
2 0.0  NN --> missile
2 0.0  NN --> mix
2 0.0  NN --> model
2 0.0  NN --> moose
2 0.0  NN --> mosquitos
2 0.0  NN --> move
2 0.0  NN --> mover
2 0.0  NN --> muff
2 0.0  NN --> mump
2 0.0  NN --> mustard
2 0.0  NN --> nana
2 0.0  NN --> nephew
2 0.0  NN --> nerve
2 0.0  NN --> no
2 0.0  NN --> noisy
2 0.0  NN --> nonsense
2 0.0  NN --> north
2 0.0  NN --> nun
2 0.0  NN --> nursie
2 0.0  NN --> nuts
2 0.0  NN --> oar
2 0.0  NN --> oat
2 0.0  NN --> obsession
2 0.0  NN --> oclock
2 0.0  NN --> odor
2 0.0  NN --> omelette
